VICS 4050 810                                                                                                                   ,WMVICS4050--810---------
UCS Envelope                                                                                                                    ,7f000001f70d64910000017i
Flat File 846                                                                                                                   ,57sqc50083i4nata00001iku
X12 4010 947                                                                                                                    ,WMX12-4010--947---------
UCS Group                                                                                                                       ,7f000001f70d64910000017j
X12 3050 850                                                                                                                    ,WMX12-3050--850---------
Flat File 855                                                                                                                   ,0ag6ao0v3oea8l1b00001crq
VDA Envelope                                                                                                                    ,WMVDA-1-----ENVELOPE----
VICS 4050 850                                                                                                                   ,WMVICS4050--850---------
VICS Group                                                                                                                      ,7f000001f70d64910000017h
X12 4010 846                                                                                                                    ,7f000001f70d649100013888
X12 4010 940                                                                                                                    ,WMX12-4010--940---------
X12 4010 866                                                                                                                    ,WMX12-4010--866---------
Flat File 866                                                                                                                   ,57sqc5009bigjat4000001ps
EANCOM Group                                                                                                                    ,7f000001f70d64910000017l
X12 3040 852                                                                                                                    ,WMX12-3040--852---------
X12 3030 997                                                                                                                    ,WMX12-3030--997---------
VICS 4010 816                                                                                                                   ,WMVICS4010--816---------
X12 4030 810                                                                                                                    ,7f000001f70d649100015670
X12 4010 810                                                                                                                    ,7f000001f70d649100013854
Delta Envelope                                                                                                                  ,0ag69v00usb6g9co0000001m
ODETTE Group                                                                                                                    ,7f000001f70d649100029998
X12 3010 997                                                                                                                    ,WMX12-3010--997---------
VICS 4010 850                                                                                                                   ,WMVICS4010--850---------
Error Document                                                                                                                  ,0ag69v00ugocr4ft0000000u
ebXML v1.0 Default                                                                                                              ,ebXML-v1.0-08-01-01----d
ebXML v1.0 Payload                                                                                                              ,ebXML-v1.0-08-01-01----p
X12 4010 997                                                                                                                    ,7f000001f70d649100013948
X12 4010 852                                                                                                                    ,7f000001f70d649100013894
CatalogRequestModify                                                                                                            ,0ag69v0v2rctu0rn00000t6o
X12 3060 997                                                                                                                    ,WMX12-3060--997---------
VICS 4010 856                                                                                                                   ,WMVICS4010--856---------
ebXML v1.0 Receipt                                                                                                              ,ebXML-v1.0-08-01-01----r
ebXML v1.0 Error                                                                                                                ,ebXML-v1.0-08-01-01----e
ebXML v1.0 Routing                                                                                                              ,ebXML-v1.0-08-01-01---rt
CatalogResponseAuthorization                                                                                                    ,0ag69v0v2sthqq8v000019p2
CatalogRequestLink                                                                                                              ,0ag69v0v2r3niuqs00000jvr
Flat File 856                                                                                                                   ,0ag6ao0v3oea5fk900001crf
Flat File 211                                                                                                                   ,57sqa60044604sbo00011lfj
VICS 4010 860                                                                                                                   ,WMVICS4010--860---------
CatalogResponse                                                                                                                 ,c0a8017cf70ddef600000083
CatalogRequest                                                                                                                  ,418c721ef70df0ac00000658
TRADACOMS Transmission                                                                                                          ,WMTRAD1-----STX---------
TRADACOMS Batch                                                                                                                 ,WMTRAD1-----BATCH-------
CatalogRequestPublish                                                                                                           ,0ag69v0v2r4jg33f00000l1f
X12 3030 850                                                                                                                    ,WMX12-3030--850---------
X12 4060 997                                                                                                                    ,WMX12-4060--997---------
VICS 4010 864                                                                                                                   ,WMVICS4010--864---------
X12 3020 997                                                                                                                    ,7f000001f70d649100010259
X12 3020 850                                                                                                                    ,WMX12-3020--850---------
X12 4050 850                                                                                                                    ,7f000001f70d649105015708
X12 3050 997                                                                                                                    ,WMX12-3050--997---------
VICS 4010 997                                                                                                                   ,WMVICS4010--997---------
X12 Group                                                                                                                       ,7f000001f70d64910000017e
X12 4010 861                                                                                                                    ,WMX12-4010--861---------
X12 2040 850                                                                                                                    ,WMX12-2040--850---------
Flat File 810                                                                                                                   ,0ag69v0v2q8n5pbt000001pj
X12 3050 856                                                                                                                    ,WMX12-3050--856---------
Flat File 870                                                                                                                   ,57sqa60047t2agsm0000aalo
VICS 4050 997                                                                                                                   ,WMVICS4050--997---------
X12 Envelope                                                                                                                    ,7f000001f70d64910000017c
X12 3020 864                                                                                                                    ,7f000001f70d649100010236
X12 4010 211                                                                                                                    ,WMX12-4010--211---------
X12 2040 997                                                                                                                    ,WMX12-2040--997---------
X12 4060 820                                                                                                                    ,WMX12-4060--820---------
X12 3020 856                                                                                                                    ,WMX12-3020--856---------
X12 5010 856                                                                                                                    ,WMX12-5010--856---------
X12 3020 810                                                                                                                    ,7f000001f70d649100010196
UNEDIFACT Envelope                                                                                                              ,7f000001f70d64910000017d
VICS 4010 810                                                                                                                   ,WMVICS4010--810---------
X12 4010 832                                                                                                                    ,7f000001f70d649100013874
Flat File 850                                                                                                                   ,0ag6ao0v3qp7g1fb0000058b
X12 4060 824                                                                                                                    ,WMX12-4060--824---------
X12 5010 832                                                                                                                    ,WMX12-5010--832---------
VICS Envelope                                                                                                                   ,7f000001f70d64910000017g
X12 4030 850                                                                                                                    ,7f000001f70d649100015708
X12 4010 860                                                                                                                    ,7f000001f70d649100013902
X12 4030 997                                                                                                                    ,7f000001f70d649100015766
X12 4060 812                                                                                                                    ,WMX12-4060--812---------
X12 4060 864                                                                                                                    ,WMX12-4060--864---------
EDIINT                                                                                                                          ,0ag6a900ul8kgiin00000001
EDIINT MDN                                                                                                                      ,0ag6a900ul8kgm2j00000005
PROFVAL_stdFields                                                                                                               ,0af00103f70d0bcc00000000
Record Document                                                                                                                 ,B2BRecord---------------
EANCOM Envelope                                                                                                                 ,7f000001f70d64910000017k
VICS 4050 856                                                                                                                   ,WMVICS4050--856---------
X12 4050 810                                                                                                                    ,WMX12-4050--810---------
X12 4050 856                                                                                                                    ,WMX12-4050--856---------
X12 4050 997                                                                                                                    ,WMX12-4050--997---------
X12 4010 816                                                                                                                    ,7f000001f70d649100013860
X12 2003 850                                                                                                                    ,WMX12-2003--850---------
X12 3040 816                                                                                                                    ,WMX12-3040--816---------
X12 4060 810                                                                                                                    ,WMX12-4060--810---------
PROFVAL_Profile                                                                                                                 ,0af00103f70d0bcc00000001
PROFVAL_extFields                                                                                                               ,0af00103f70d0bcc00000002
